Seller_ID,Seller_Name,Seller_Postal_Code,Seller_City,Country_Code,Seller_Country
0015a82c2db000af6aaaf3ae2ecb0532,PearlMoon,DE-60318,Frankfurt,DE,Germany
001cca7ae9ae17fb1caed9dfb1094831,TechInnovators,CZ-30200,"Plzeň (Pilsen)",CZ,Czechia
001e6ad469a905060d959994f1b41e4f,HorizonCommerce,FR-31100,Toulouse,FR,France
002100f778ceb8431b7a1020ff7ab48f,BlueBuilders,DE-39112,Magdeburg,DE,Germany
003554e2dce176b5555353e4f3555ac8,ProCommerce,IT-00121,Rome,IT,Italy
004c9cd9d87a3c30c522c48c4fc07416,HyperBuilders,DE-6110,"Halle (Saale)",DE,Germany
00720abe85ba0859807595bbf045a33b,BrightSynergies,DE-80339,Munich,DE,Germany
00ab3eff1b5192e5f1a63bcecfee11c8,LuminaraBloom,DE-10115,Berlin,DE,Germany
00d8b143d12632bad99c0ad66ad52825,BlazeGlow,NL-1015,Amsterdam,NL,Netherlands
00ee68308b45bc5e2660cd833c3f81cc,YonderBloom,DE-10115,Berlin,DE,Germany
00fc707aaaad2d31347cf883cd2dfe10,IridiumWave,AT-4020,Linz,AT,Austria
010543a62bd80aa422851e79a3bc7540,NebulaShade,DE-10178,Berlin,DE,Germany
010da0602d7774602cd1b3f5fb7b709e,GalaxiteValley,DE-50668,Cologne,DE,Germany
011b0eaba87386a2ae96a7d32bb531d1,SmartSolutions,DE-79100,"Freiburg im Breisgau",DE,Germany
01266d4c46afa519678d16a8b683d325,HyperXSolutionsPro,AT-1010,Vienna,AT,Austria
013900e863eace745d3ec7614cab5b1a,GlobalAI,AT-1010,Vienna,AT,Austria
014c0679dd340a0e338872e7ec85666a,AlphaTech,NL-1812,Alkmaar,NL,Netherlands
014d9a685fd57276679edd00e07089e5,LasuriteReef,AT-4040,Linz,AT,Austria
0176f73cc1195f367f7b32db1e5b3aa8,VisionVentures,DE-6110,"Halle (Saale)",DE,Germany
01bcc9d254a0143f0ce9791b960b2a47,QuantumGrowth,IT-43125,Parma,IT,Italy
01c97ebb5cdac52891c0ed1c37ba0012,EliteEdge,DE-18055,Rostock,DE,Germany
01cf7e3d21494c41fb86034f2e714fa1,NovaTech,AT-3402,Klosterneuburg,AT,Austria
01ed254b9ff8407dfb9d99ba1e17d923,EdingtonitePeak,DE-30159,Hanover,DE,Germany
01fd077212124329bac32490e8ef80d9,StratosIndustries,DE-58093,Hagen,DE,Germany
01fdefa7697d26ad920e9e0346d4bd1b,GoethiteStar,AT-8040,Graz,AT,Austria
0241d4d5d36f10f80c644447315af0bd,SecureInnovators,AT-1020,Vienna,AT,Austria
0249d282d911d23cb8b869ab49c99f53,LagoonGlow,DE-10117,Berlin,DE,Germany
024b564ae893ce8e9bfa02c10a401ece,QuartzPeak,DE-10115,Berlin,DE,Germany
028872bfa080090a9d0abd4f1af168f8,AuroraPulse,NL-3812,Amersfoort,NL,Netherlands
02a2272692e13558373c66db98f05e2e,VisionaryThinkers,FR-75001,Paris,FR,France
02b72cdeb9cfcc429f1af6f4e3f3b737,HyperXAI,DE-6112,"Halle (Saale)",DE,Germany
02c988090b766852e088c69d7fb3b551,KermesiteGlow,DE-9115,Chemnitz,DE,Germany
02d35243ea2e497335cd0f076b45675d,GraphiteReef,TR-34728,Istanbul,TR,Turkey
02dcd3e8e25bee036e32512bcf175493,InnovaTech,NL-2512,"The Hague (Den Haag)",NL,Netherlands
02ecc2a19303f05e59ce133fd923fff7,IronLeaf,DE-60318,Frankfurt,DE,Germany
02f5837340d7eb4f653d676c7256523a,GlobalGlobal,AT-1040,Vienna,AT,Austria
02f623a8eb246f3c5f7c2f96462654e6,AlphaInnovators,DE-39106,Magdeburg,DE,Germany
0307f7565ff85b299b6e5ef162b1b1a9,GaspeiteStar,DE-47053,Duisburg,DE,Germany
0336182e1b3e92f029d5354832045fdf,VisionaryEdge,DE-6110,"Halle (Saale)",DE,Germany
034b9387752bfa309f350a70cd45ffa3,ZenithGlow,CH-4003,Basel,CH,Switzerland
038b75b729c8a9a04b0d07cba7eabe86,MatilditePeak,DE-4103,Leipzig,DE,Germany
039b29ff3b3473435d0cd59040575de9,FusionBuilders,DE-42653,Solingen,DE,Germany
