Review_ID,Order_ID,Review_Score,Review_Comment_Title_En,Review_Comment_Message_En,Review_Creation_Date,Review_Answer_Timestamp
0001239bc1de2e33cb583967c2ca4c67,fc046d7776171871436844218f817d7d,5,NULL,NULL,"2024-03-20 00:00:00","2024-03-20 18:36:00"
0001cc6860aeaf5b9017fe4131a52e62,d4665434b01caa9dc3e3e78b3eb3593e,5,NULL,NULL,"2024-06-22 00:00:00","2024-06-26 13:51:00"
00020c7512a52e92212f12d3e37513c0,e28abf2eb2f1fbcbdc2dd0cd9a561671,5,"Fast delivery!","Delivery was super fast and the pendant is beautiful! Just like the photo! ","2024-04-25 00:00:00","2024-04-26 14:55:00"
00032b0141443497c898b3093690af51,04fb47576993a3cb0c12d4b25eab6e4e,5,NULL,NULL,"2023-05-30 00:00:00","2023-06-01 23:28:00"
00034d88989f9a4c393bdcaec301537f,5f358d797a49fe2f24352f73426215f6,5,NULL,NULL,"2023-08-12 00:00:00","2023-08-13 19:56:00"
000359bceee1b6fe876b30d35b5f9ef2,97868e4c884bc85f4501ae0a66181cc9,5,NULL,"The product frequency is incompatible with the Brazilian electricity grid and was not shown in the product description before purchase","2024-02-06 00:00:00","2024-02-06 20:54:00"
00041b1f51e77a663df6db3f539d694f,998b1beee068744ac833dd8b31944623,1,NULL,excellent,"2024-05-24 00:00:00","2024-05-24 12:45:00"
00046a69550325aea5fb89f65c7387f2,9fbda7367628952bc36c3512c46d887b,5,"HIGHLY RECOMMEND","I LIKED THE CELL PHONE CASE, IT CAME AS I EXPECTED.","2024-07-01 00:00:00","2024-07-02 12:32:00"
0005534973388c830bb858cfba83b17b,a589caa6892ceacc6bbf2f8cc30a8ad4,5,NULL,NULL,"2023-09-01 00:00:00","2023-09-02 13:04:00"
00055e36e9608fe969231e551983a69c,f5fea26ab547eec920e6f8ecdc5c37e4,5,NULL,"Delivery deadline met!","2023-11-25 00:00:00","2023-11-27 11:37:00"
0005949d4c047d64863a6874338139ba,640883769bc5da4a077725646dc9995a,5,NULL,NULL,"2023-06-20 00:00:00","2023-06-22 23:19:00"
0005bc906dfe3b73261020bf8e9b76cf,75cc0defdf90cda65066ce0ac171e2ab,5,NULL,"Very good ","2023-10-15 00:00:00","2023-10-15 17:53:00"
0006803d573e15ea8a16b6662dc712d3,f104033beebfd7e8f12217531c2275f9,5,NULL,NULL,"2023-11-15 00:00:00","2023-11-18 02:22:00"
000688fa7009b3c9fafe4950b37cbc81,f7445b0cae0fd4d05894171adcc55931,5,Good,"My favorite sait ","2024-06-19 00:00:00","2024-06-20 04:48:00"
0006cce9fd63c8ea1c488b88d4cb3f02,df940e48580d0f2c2283d0782c7f99e3,5,NULL,NULL,"2023-08-26 00:00:00","2023-08-30 12:03:00"
0008969b34581b1588db2f56fa333485,51402937e32c2e11f7aa13d58d0054f1,5,NULL,NULL,"2024-06-14 00:00:00","2024-06-16 19:15:00"
000932bcd6959ac688b310abead1acb8,c72add79a1bef8c55628b377b01eb02d,4,NULL,NULL,"2023-04-06 00:00:00","2023-04-07 18:00:00"
00097d2ebbdd5d8921a21af2370ef764,50a790149ec089ab00a4630204396f0f,5,NULL,NULL,"2023-08-03 00:00:00","2023-08-05 23:47:00"
0009d5c0d8e49da34e2561a67bc730f8,755fdf89024021c6324864182b6657b5,1,NULL,"The product was posted almost on the last day of the deadline... it took almost 20 days to ship","2024-03-25 00:00:00","2024-03-26 11:38:00"
000a4fc2877b9726aecc081ad467bbf4,c2e8b417a29b392b9f49a30a868489cf,4,NULL,"Delivery was quick, ahead of schedule. The product meets my expectations so far. It has been in use for 4 days."","2023-07-26 00:00:00","2023-07-26 23:31:00"
000b291d6b3cc20cbe11873a8ad2a3e3,8a321ac5f4ec102c87791bd745cb3fbf,5,NULL,NULL,"2024-01-18 00:00:00","2024-01-19 01:51:00"
000b3f23cb5d4e7dd8536fb2fe749164,b979990724c0c6accce90ed2a7bb04e0,5,NULL,NULL,"2024-06-13 00:00:00","2024-06-14 00:24:00"
000caf14947c8f8a867754e6044c2e7b,6f5a4883cdf5054788a32b5c8b36a8ed,4,NULL,NULL,"2024-03-26 00:00:00","2024-04-02 14:03:00"
000cf1cb9e32563359c8a3aff9b6f675,6d24d19f8842be0e8e1064fb0709528b,5,NULL,NULL,"2024-04-14 00:00:00","2024-04-16 23:11:00"
000d524a3c693e342d163912ad74f156,378e9f1b518253964f1e82f349d90b7b,4,NULL,NULL,"2023-05-17 00:00:00","2023-05-18 11:39:00"
000da26f546e5d51b6336486f57fc632,dc6a29077e547f5fe4377f251fd1c5d0,5,NULL,NULL,"2023-06-03 00:00:00","2023-06-07 04:00:00"
000faedabef50689a0ea3fc4fbf99cb4,4b6a69ab5ba578e5193deeffcf9d0f7a,4,NULL,NULL,"2023-05-30 00:00:00","2023-05-30 23:08:00"
0010388b006db42c9457d7148035db0e,cadf75f0c2e29639d54ff0430d98e9f7,4,NULL,NULL,"2024-08-12 00:00:00","2024-08-14 11:35:00"
00112b1cb3cd58339c91aad88df2b835,c7068b2d09a51ca53dd0a06c2526be34,4,"Very fast delivery","Rating 10 for delivery. The product is not exactly black in color, it is more like copper-plated lead...","2024-05-03 00:00:00","2024-05-03 22:14:00"
00125f12c201cf0160f4a1457b466512,659a4b8e5c9540667f4d4d5607bc8f79,2,NULL,"The product arrived on time but the item was wrong, I contacted the seller and he said he would send me the correct product. I'm waiting for the correct product tracking code.","2024-03-13 00:00:00","2024-03-15 12:20:00"
0012aca79505926b2587d1140c08fad6,6af6633de36925111b10a688783d004b,3,NULL,"The base of a stool came with damage - scratches.","2023-11-14 00:00:00","2023-11-16 19:23:00"
00130cbe1f9d422698c812ed8ded1919,04a28263e085d399c97ae49e0b477efa,1,NULL,"The "original HP" 60XL cartridge is not recognized by the printer and therefore did not work. In addition to arriving more than 15 days later than expected. I need it changed. ","2024-03-07 00:00:00","2024-03-20 18:08:00"
0013e9dd48c5a38d258a9e0bd1917fa7,fb778dbecc94ac70dabbc1bf2d339e0a,3,NULL,"The company delivers within what it promises, on the last day of the deadline, takes too long, does not delight the customer, as it only fulfills the basic obligation.","2023-12-22 00:00:00","2023-12-22 23:49:00"
0013fd55e98d2d16c086831682d69a34,64eeb35d3ade7fcdff9fbb1ca5175bcf,4,NULL,NULL,"2024-08-24 00:00:00","2024-08-24 11:56:00"
00148610066c357531807daea5888a22,8f705decc6b7168523d676183f61b950,5,"DELIVERY ON TIME","DELIVERY ON TIME.. I RECOMMEND IT!","2024-05-16 00:00:00","2024-05-25 17:57:00"
0016d2d10b5c26607549a29446578edf,7536412c065c3c88cab8d15d406b24d8,4,NULL,NULL,"2024-03-13 00:00:00","2024-03-13 20:34:00"
001736c33bb2a7a2454785a497d9a7ab,df75a2d753c65af66e3571e2dbfd985a,3,NULL,"Delivery was quick but the material of the product did not please me. ","2024-06-15 00:00:00","2024-06-15 19:20:00"
00180271bf8a82fca45f1aef1dcb837b,1d61263296787e98a9e59fcaa66265af,5,NULL,"Great store ","2024-05-16 00:00:00","2024-05-16 22:25:00"
0018fa5c17bf85fdccfde1bc8d907e58,b109cd82203e670b7963d9945099ca6b,5,NULL,NULL,"2024-04-27 00:00:00","2024-04-28 02:28:00"
001a0f6aa15b5525ac30fbe74a2eddd0,346ffefd56ff0691db147f471af8a1dc,5,NULL,good,"2023-09-27 00:00:00","2023-09-27 23:54:00"
001a4411893b94d3f37d248e3586c63d,2e931584519b7ebc7b1a445a4f7cd8f1,4,NULL,"The box arrived a little damp. When I opened the package, the watch was a little dirty with rust, but I wiped it with a cloth and it was fine.","2023-12-20 00:00:00","2023-12-22 22:25:00"
001b3b4666d0e109d7563e1465f4ba60,9d6f552c9b731d52bb9c9b6051ddf5a2,4,NULL,NULL,"2023-02-14 00:00:00","2023-02-15 14:28:00"
001bb836b02b47248df2f134b8babbe8,089a371eeab2f86ebe76b23a4c99d3b1,5,NULL,"Beautiful, I loved it","2024-03-15 00:00:00","2024-03-16 11:18:00"
001ce468e08e9ee56753421128bec6f4,465e367896219452ecc8d8dc02f61531,5,NULL,NULL,"2024-07-21 00:00:00","2024-07-24 11:57:00"
001d005e8f06c039464425cf266248e8,d8711cd641288f4e2e1a84dc3c6ade21,4,NULL,"Initially the order was incomplete, I sent a message to Lannister (without receiving a response), I received the rest of the order 2 days later.","2023-08-01 00:00:00","2023-08-04 11:08:00"
001fb24cd0236565963c8301ea4490ed,840d56f863cce183ed7b2340fe33a3b6,5,NULL,NULL,"2024-06-22 00:00:00","2024-06-25 14:30:00"
001fee365788188f4c1d4c0f99ec230d,d49594aea51e89d1b67d2bda3f062695,5,NULL,"I bought 2 books and only 1 was delivered","2023-11-25 00:00:00","2023-11-26 13:21:00"
002155c71462b955916f9e3c1df7d376,e1a73a8183d164944b0f44e1eb39ea7d,5,"I recommend ","I was very satisfied.","2024-04-28 00:00:00","2024-04-30 23:48:00"
0021a4bb20248658151869de726e73e4,3044d11f2c5790298aa2fa9959961876,5,NULL,"I received the watch ahead of schedule and I was very pleased with it. Full satisfaction.","2023-07-15 00:00:00","2023-07-16 16:33:00"
002268961f544593083579b57bca4f59,c90e15a8d750212aa19ac74b22a39493,1,NULL,NULL,"2024-05-01 00:00:00","2024-05-01 21:25:00"
0025a8a1273dda6c6174b2e3d69225d7,897da32e9712dafcf2fb6615aeb3318c,5,NULL,NULL,"2023-06-09 00:00:00","2023-06-12 19:36:00"
0027436e8fd61af9c71906b1fc7c0f59,1656551f139b288763e626d0191fb3e4,5,NULL,NULL,"2023-04-20 00:00:00","2023-04-26 10:44:00"
002acdbbcbc1e3d95d3fd970993df7d2,9dc716765847e0436278efdb22248d1a,2,NULL,"Great seller I received it correctly, I recommend it, great product, thank you.","2024-04-21 00:00:00","2024-04-21 17:05:00"
002d66eb90f49e28fa272b6aa3af1a69,116dccb1dafc4a6bb0277e499ad96fbe,4,NULL,"Lannister great but the product is terrible! Disposable. It broke the day it was assembled. I don't recommend it to anyone. ","2024-07-06 00:00:00","2024-07-09 15:03:00"
002d6d967b7d3bba097310297327864d,7aac44d0de12f13cf2a5f9235a5a9e37,2,NULL,"Product doesn't work","2023-11-29 00:00:00","2023-11-29 09:31:00"
002d89a798b17f7c2887bd11785b09ec,0446aaa642b81cd046c44edda61ed010,4,NULL,NULL,"2023-11-09 00:00:00","2023-11-10 20:22:00"
002dcef64fe5cdfa45ebdb04a4f682e0,1ebcf69fa275bb588691ece37ef82a30,5,NULL,NULL,"2023-11-09 00:00:00","2023-11-09 14:45:00"
