customer_id,Subscriber_ID,Subscribe_Date,First_Order_Date,Customer_Postal_Code,Customer_City,Customer_Country,Customer_Country_Code,Age,Gender
00012a2ce6f8dcda20d059ce98491703,248ffe10d632bebe4f7267f1f44844c9,2023-10-26,2023-11-14,DE-70174,Stuttgart,Germany,DE,52,Male
000379cdec625522490c315e70c7a9fb,0b83f73b19c2019e182fd552c048a22c,2024-03-26,2024-04-02,DE-10115,Berlin,Germany,DE,61,Male
00050bf6e01e69d5c0fd612f1bcfb69c,e3cf594a99e810f58af53ed4820f25e5,2023-07-21,2023-09-07,BE-7100,"La Louvière",Belgium,BE,67,Female
000598caf2ef4117407665ac33275130,7e0516b486e92ed3f3afdd6d1276cfbd,2024-07-28,2024-08-11,NL-2511,"The Hague (Den Haag)",Netherlands,NL,36,Male
00066ccbe787a588c52bd5ff404590e3,15090f48004f3b0fc18a167ef82af4db,2024-01-28,2024-02-06,BE-1074,Anderlecht,Belgium,BE,47,Male
0009a69b72033b2d0ec8c69fc70ef768,fa30145b07cad8e972bea351a65216f4,2023-04-01,2023-04-28,DE-20099,Hamburg,Germany,DE,45,Male
000bf8121c3412d3057d32371c5d3395,1bc9b2dad6aefbfbc011508e34c8adfc,2023-09-13,2023-10-11,DE-10117,Berlin,Germany,DE,51,Male
000e943451fc2788ca6ac98a682f2f49,d73c3cf4a0922ece1176bd40eb76ac50,2023-04-17,2023-04-20,BE-1082,Sint-Jans-Molenbeek,Belgium,BE,31,Male
000f17e290c26b28549908a04cfe36c1,74541fbb7526dabecd0fc96b1192b9a7,2023-10-21,2023-11-10,BE-6040,Charleroi,Belgium,BE,36,Female
0010068a73b7c56da5758c3f9e5c7375,03dabd77cb0ed7a26fafe19e36b67742,2023-04-03,2023-04-11,PT-2735,Sintra,Portugal,PT,25,Male
001226b2341ef620415ce7bbafcfac28,e7897290aea0805ab175017e3f60c3e7,2021-11-09,2023-09-29,BE-2040,Antwerp,Belgium,BE,28,Male
0012a5c13793cf51e253f096a7e740dd,48efc7def11f9a644e1993a3d97361d2,2024-03-04,2024-03-05,FR-75001,Paris,France,FR,34,Female
0013cd8e350a7cc76873441e431dd5ee,334fed5abcee3aa96c13f1432703e1fd,2024-05-01,2024-05-07,DE-10115,Berlin,Germany,DE,61,Male
00146ad30454993879adaa91c518f68c,5616f75d22507069b5383854a1d8c414,2024-01-08,2024-01-08,NL-1015,Amsterdam,Netherlands,NL,29,Male
00155f0530cc7b2bf73cc3f81cb01c52,533b3a42bf5005c302539e093b445d3d,2023-04-17,2023-05-14,DE-20097,Hamburg,Germany,DE,29,Female
001574cd5824c0b1ea90dd4f4ba6d5b8,8141dd1e051afe7d72079570fe72d5f1,2023-11-13,2023-11-26,DE-10119,Berlin,Germany,DE,35,Male
0017a0b4c1f1bdb9c395fa0ac517109c,e36a621e869b643b15983fa8085eb541,2024-02-08,2024-03-03,AT-1010,Vienna,Austria,AT,29,Female
